H;07536553000102    ;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL CAES 112,5MG 2 - 4,5kg                 ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184186119     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;6;MODIFICADOR ORG. MOV VALLEE 500 ML                          ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104232     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VAC ANTIRABICA RAIVACEL 50 ML 25 DS VALLEE                  ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105048     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VALLEECALCIO 250 ML VALLEE                                  ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105369     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;MASTICINE L 12 SG X 10 G VALLEE                             ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370107066     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;7;BRAVECTO 500MG 10 - 20kg                                    ;202010100         ;MSD BRAVECTO                                                ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184137012     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL CAES 500MG 10 - 20kg                   ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184186133     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL PLUS GATOS 250 MG                      ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184192325     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;9;NOBIVAC FELINE 1-HCPCH+FELV 10X1 Ds                         ;202010300         ;MSD NOBIVAC                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;662858207521      ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;NOBIVAC CANINE CX C/25 FR                                   ;202010300         ;MSD NOBIVAC                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185900203     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;5;AZIUM COMPRIMIDOS 20COMP.                                   ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185970923     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;FLOTRIL COMP 50 MG 10COMP                                   ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971340     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;INCURIN 1MG 1x30 tab 150                                    ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184146168     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;METICORTEN VET 5 MG 10 COMP                                 ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971173     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;CANINSULIN 10 ML                                            ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184193858     ;Unidade             ;UN      ;1000           ;I;20230315
V;05194267000180    ;SISTEMAS  DE  IDENTIFICACAO  ANIMAL  LTD                    ;1;MICROCHIP GLOBAL IDENT 1.4 C/10 UND                         ;202010500         ;IDENTIFICA��O MSD PET                                       ;                  ;ALLFLEX                                                     ;                  ;                                                            ;E;7892222123048     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;7;METRICURE 19 GR CAIXA 10 UND.                               ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184100108     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;SOLUTION L.A. 3,5 % 1 L                                     ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185913319     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;VAC COVEXIN-9 250 ML 83 DS                                  ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185961648     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;PANACOXX 1L  CX C/6                                         ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;17896185959055    ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;FOLLIGON 5000 UI 25 ML                                      ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184040053     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;EXPERT BRINCO C/20 UNID. C/MACHO                            ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185909701     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;IMIZOL INJ. 100 ML                                          ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971517     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;4;CIOSIN 4 X 2 ML                                             ;202020102         ;MSD TECNICA ATACADO                                         ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971487     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;PENCIVET PLUS. PPU 30ML                                     ;202020102         ;MSD TECNICA ATACADO                                         ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185903112     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;CRESTAR IVG 1,3 C/10 DISPOSITIVOS                           ;202020102         ;MSD TECNICA ATACADO                                         ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185903181     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;FIPROBAN 2,68 ML - De 20 a 40 kg de peso(I)                 ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105581     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;SUPRA PEN 50 ML VALLEE (I)                                  ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105406     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;MASTIJET VACA SECA BISN 20X9 DISPLAY C/20 UNID              ;202020201         ;MSD COMERCIAL                                               ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184069726     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BUTOX P CE 25 - 20 ML CX C/25 UND                           ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185902405     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;NAQUASONE INJ. 10 ML                                        ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971241     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;6;HEPATOXAN 100 ML VALLEE                                     ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104164     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;MATABICHEIRAS COOPER 500 ML                                 ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185983268     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL PLUS GATOS 500 MG                      ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184192332     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;ACTIVYL GATOS ACIMA DE 4 KG 1X1,03 ML                       ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184121714     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;PULVEX POUR-ON CARTELA C/1 PIPETA 1ML                       ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184128188     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;8;POSATEX 1X17,5 ML                                           ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184153326     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;CEFA CURE 1000 MG C/ 5 COMP.                                ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185909626     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;MASTI - SEAL BLD 100 BS                                     ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185902719     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;3;VAC POLIGUARD 100 ML 20 DS VALLEE (I)                       ;202020101         ;MSD TECNICA                                                 ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105314     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;COBACTAN VL 15 X 8G                                         ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185980021     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;4;IMIZOL INJ. 15 ML                                           ;202020102         ;MSD TECNICA ATACADO                                         ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971500     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;MASTIJET FORTE 8X20 INJ 150                                 ;202020201         ;MSD COMERCIAL                                               ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184084286     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VETFLOGIN 10 ML VALLEE (I)                                  ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104614     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;QUINOTRIL PLUS 50 ML VALLEE (I)                             ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104812     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;SINCROSIN 20 ML VALLEE (I)                                  ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104744     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;BUTOX P CE 25 - 1000 ML                                     ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185979254     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;SUPRAMEC GEL 6,42 G                                         ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185961464     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;CALMINEX POMADA 30 G                                        ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185970930     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;EXCELLER 50 ML VALLEE                                       ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105529     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;ANTIDIARREICO PO 100G VALLEE 10X10                          ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104096     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;2;NEOCIDOL B- 40 (2 X 10) BRINCO                              ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370100579     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;ZALIX DIURETICO 10 ML                                       ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184103291     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;7;BOOSTIN 500 MG CX C/5 CARTELA C/5 BISNAGAA                  ;202020300         ;MSD BOOSTIN                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971616     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VAMPIRICID TOPICO 50G VALLEE                                ;202020500         ;VALLEE                                                      ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105444     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;EXZOLT 5% POUR-ON 1L                                        ;202020600         ;MSD EXZOLT                                                  ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184199591     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;EXZOLT 5% POUR-ON 5L                                        ;202020600         ;MSD EXZOLT                                                  ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184225061     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL CAES 1400MG 40 - 60kg                  ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184186355     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;NOBIVAC RAIVA 10 X 1 DS ETICA                               ;202010300         ;MSD NOBIVAC                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184032249     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;ENDAL PLUS 4COMP.                                           ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971012     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;SERINGA CANINSULIN 1 ML                                     ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7894442286664     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;T 61 FRASCO 50 ML                                           ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184100023     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;COLEIRA SCALIBOR 65 CM 25 G                                 ;202010600         ;MSD SCALIBOR                                                ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185907011     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;8;ROTAVEC CORONA 40 ML 20 DS                                  ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184101051     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;6;POTENTY 300 ML (I)                                          ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185902436     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;6;CEPRAVIN COOPERS ANTIMASTITICO DISPLAY C/20 UND.            ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971609     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;5;POTENTY 5 LTS                                               ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;17896185902426    ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;4;FERTILCARE IMPLANTE 1200 C/10 DISPOSITIVOS                  ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896370108582     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;FIPROBAN 4,02 ML - Mais de 40 kg de peso(I)                 ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105598     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;VAC POLI-STAR 250 ML VALLE (I)                              ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105161     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;EXCELLER 500 ML VALLEE (I)                                  ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105543     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VALLEEFER BS 100ML (I)                                      ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370107493     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;DORCIPEC 10 ML (I)                                          ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104201     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;VAMPIRICID TOPICO 5X50G CX C/5 UNID VALLEE (I)              ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370106014     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BORGAL INJETAVEL 50 ML                                      ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185979360     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;AZIUM SOL. INJ. 10 ML                                       ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185950918     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;TRIATOX PULV. 1 LITRO                                       ;202020202         ;MSD COMERCIAL ATACADO                                       ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185983299     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;VAC POLI-R 50ML VALLEE                                      ;202020500         ;VALLEE                                                      ;                  ;VALLEE                                                      ;                  ;                                                            ;E;1065              ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;8;ABSOLUT 500 ML VALLEE                                       ;202020500         ;VALLEE                                                      ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370100425     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;EXZOLT 5% POUR-ON 250ML                                     ;202020600         ;MSD EXZOLT                                                  ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184215635     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;7;BRAVECTO 1400MG 40 - 56 KG                                  ;202010100         ;MSD BRAVECTO                                                ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184137043     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL PLUS GATOS 112,5MG                     ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184192318     ;Unidade             ;UN      ;1000           ;I;20230315
